ua_word,en_word,part_of_speech,level
отримати,acquire,verb,A1
нині,today,adverb,A1
інститут,school,noun,A1
конституційний,constitutional,adjective,A1
свобода,freedom,noun,A1
центр,nucleus,noun,A1
дати,give,verb,A1
не,not,adverb,A1
увага,attention,noun,A1
тисяча,thousand,noun,A1
представник,attorney,noun,A1
давати,give,verb,A1
говорити,say,verb,A1
більшість,majority,noun,A1
хотіти,want,verb,A1
економіка,economics,noun,A1
бік,side,noun,A1
наука,science,noun,A1
світовий,global,adjective,A1
управління,authority,noun,A1
кошт,cost,noun,A1
група,band,noun,A1
принцип,principle,noun,A1
українець,citizen,noun,A1
культура,culture,noun,A1
допомога,help,noun,A1
майже,almost,adverb,A1
майже,pretty,adverb,A1
захист,protection,noun,A1
тепер,currently,adverb,A1
гроші,money,noun,A1
населення,population,noun,A1
єдиний,only,adjective,A1
йога,yoga,noun,A1
відповідний,fit,adjective,A1
забезпечення,act,noun,A1
багато,plenty,adverb,A1
ціна,price,noun,A1
три,three,numeral,A1
Віктор,victor,noun,A1
мета,point,noun,A1
законодавство,legislation,noun,A1
завжди,always,adverb,A1
компанія,company,noun,A1
територія,premises,noun,A1
шлях,road,noun,A1
область,area,noun,A1
член,member,noun,A1
газ,gas,noun,A1
знати,know,verb,A1
форма,shape,noun,A1
початок,start,noun,A1
безпека,security,noun,A1
вищий,superior,adjective,A1
завдання,problem,noun,A1
нинішній,current,adjective,A1
Тимошенко,tymoshenko,noun,A1
відносини,term,noun,A1
університет,university,noun,A1
брати,take,verb,A1
народний,national,adjective,A1
загальний,general,adjective,A1
основа,stem,noun,A1
народ,nationality,noun,A1
потім,then,adverb,A1
ідея,idea,noun,A1
бюджет,budget,noun,A1
парламент,parliament,noun,A1
позиція,stand,noun,A1
ніхто,anyone,pronoun,A1
дослідження,analysis,noun,A1
потрібний,necessary,adjective,A1
щось,something,pronoun,A1
відповідно,accordingly,adverb,A1
радянський,pertaining,adjective,A1
випадок,case,noun,A1
стаття,article,noun,A1
норма,norm,noun,A1
комісія,committee,noun,A1
жити,dwell,verb,A1
важливий,important,adjective,A1
бачити,see,verb,A1
судовий,judicial,adjective,A1
посада,function,noun,A1
галузь,branch,noun,A1
віно,dowry,noun,A1
ніщо,nothing,pronoun,A1
більш,more,adverb,A1
існувати,exist,verb,A1
реалізація,realization,noun,A1
відбуватися,happen,verb,A1
стан,voice,noun,A1
тощо,et,adverb,A1
відомий,known,adjective,A1
бізнес,business,noun,A1
окремий,distinct,adjective,A1
структура,structure,noun,A1
боротьба,fight,noun,A1
досвід,experiment,noun,A1
ти,thou,pronoun,A1
то,that,pronoun,A1
фінансовий,financial,adjective,A1
ваш,yours,pronoun,A1
кандидат,candidate,noun,A1
внутрішній,interior,adjective,A1
досить,enough,adverb,A1
виробництво,production,noun,A1
лідер,leader,noun,A1
розуміти,see,verb,A1
високий,tall,adjective,A1
підтримка,support,noun,A1
відповідальність,responsibility,noun,A1
громадський,public,adjective,A1
учасник,participant,noun,A1
гривня,hryvnia,noun,A1
залишатися,rest,verb,A1
керівник,head,noun,A1
порядок,order,noun,A1
намагатися,attempt,verb,A1
період,period,noun,A1
том,volume,noun,A1
змогти,can,verb,A1
колоти,cleave,verb,A1
спільний,joint,adjective,A1
місяць,month,noun,A1
акт,act,noun,A1
усе,everything,pronoun,A1
наступний,next,adjective,A1
відбутися,happen,verb,A1
план,map,noun,A1
рука,hand,noun,A1
становити,place,verb,A1
особливо,particularly,adverb,A1
реальний,concrete,adjective,A1
проведення,verbal,noun,A1
союз,league,noun,A1
відповідати,answer,verb,A1
використання,exploitation,noun,A1
кодекс,code,noun,A1
повноваження,proxy,noun,A1
виконання,execution,noun,A1
йти,quit,verb,A1
межа,barrier,noun,A1
фонд,pool,noun,A1
суспільний,social,adjective,A1
праця,work,noun,A1
угода,deal,noun,A1
виборчий,electoral,adjective,A1
змінити,change,verb,A1
вимога,exigency,noun,A1
створити,create,verb,A1
писати,write,verb,A1
причина,cause,noun,A1
ресурс,asset,noun,A1
київський,kyivan,adjective,A1
хтось,someone,pronoun,A1
факт,fact,noun,A1
разом,together,adverb,A1
разом,along,adverb,A1
працівник,employee,noun,A1
рух,traffic,noun,A1
технологія,technology,noun,A1
засіб,means,noun,A1
теж,also,adverb,A1
мільйон,million,noun,A1
міський,urban,adjective,A1
будівництво,act,noun,A1
статус,status,noun,A1
автор,writer,noun,A1
піти,quit,verb,A1
думати,think,verb,A1
підготовка,preparation,noun,A1
міністерство,ministry,noun,A1
спосіб,means,noun,A1
можливо,perhaps,adverb,A1
склад,syllable,noun,A1
ставати,become,verb,A1
відсоток,percent,noun,A1
юридичний,legal,adjective,A1
демократія,democracy,noun,A1
формування,molding,noun,A1
значний,important,adjective,A1
комітет,board,noun,A1
якість,quality,noun,A1
механізм,mechanism,noun,A1
середній,neuter,adjective,A1
часто,often,adverb,A1
церква,church,noun,A1
вийти,exit,verb,A1
послуга,service,noun,A1
послуга,favor,noun,A1
проводити,lead,verb,A1
проводити,to,verb,A1
даний,given,adjective,A1
служба,employment,noun,A1
водночас,simultaneously,adverb,A1
Володимир,vladimir,noun,A1
століття,century,noun,A1
необхідний,essential,adjective,A1
керівництво,board,noun,A1
знайти,find,verb,A1
пов'язаний,associate,adjective,A1
наслідок,outcome,noun,A1
контроль,control,noun,A1
демократичний,democratic,adjective,A1
виходити,to,verb,A1
виходити,exit,verb,A1
зовнішній,exterior,adjective,A1
стосуватися,apply,verb,A1
рахунок,account,noun,A1
справді,indeed,adverb,A1
взагалі,generally,adverb,A1
заклад,institution,noun,A1
заклад,bet,noun,A1
знову,again,adverb,A1
криза,crisis,noun,A1
зовсім,quite,adverb,A1
будинок,building,noun,A1
діяти,act,verb,A1
опозиція,clash,noun,A1
правий,right,adjective,A1
колишній,former,adjective,A1
погляд,point,noun,A1
відповідь,answer,noun,A1
навчальний,educational,adjective,A1
школа,school,noun,A1
заявити,state,verb,A1
повний,complete,adjective,A1
термін,term,noun,A1
сторона,side,noun,A1
запитання,query,noun,A1
число,number,noun,A1
положення,thesis,noun,A1
законодавчий,legislative,adjective,A1
історичний,historical,adjective,A1
війна,war,noun,A1
порушення,verbal,noun,A1
студент,student,noun,A1
законопроект,bill,noun,A1
можливий,feasible,adjective,A1
обсяг,volume,noun,A1
третій,third,adjective,A1
кордон,boundary,noun,A1
джерело,spring,noun,A1
висновок,conclusion,noun,A1
кримінальний,criminal,adjective,A1
чин,rank,noun,A1
приклад,example,noun,A1
приклад,butt,noun,A1
минулий,last,adjective,A1
режим,regime,noun,A1
згідно,in,adverb,A1
інформаційний,informational,adjective,A1
цілком,right,adverb,A1
вирішити,solve,verb,A1
готовий,ready,adjective,A1
тема,subject,noun,A1
передбачати,forecast,verb,A1
роль,place,noun,A1
підстава,base,noun,A1
напрям,line,noun,A1
потребувати,need,verb,A1
стояти,stand,verb,A1
зростання,growth,noun,A1
незалежність,nationality,noun,A1
пенсія,pension,noun,A1
власність,property,noun,A1
виборець,voter,noun,A1
корупція,corruption,noun,A1
заява,advertisement,noun,A1
майбутній,next,adjective,A1
момент,second,noun,A1
належати,belong,verb,A1
вплив,impact,noun,A1
функція,function,noun,A1
особливий,distinct,adjective,A1
база,base,noun,A1
театр,theater,noun,A1
жінка,woman,noun,A1
самоврядування,self-government,noun,A1
цінність,worth,noun,A1
взяти,take,verb,A1
заступник,second,noun,A1
район,area,noun,A1
податок,tax,noun,A1
акція,stock,noun,A1
адміністративний,administrative,adjective,A1
характер,character,noun,A1
зрозуміти,understand,verb,A1
молодий,small,adjective,A1
практика,practice,noun,A1
приватний,private,adjective,A1
потреба,need,noun,A1
конкретний,concrete,adjective,A1
команда,crew,noun,A1
звісно,surely,adverb,A1
село,countryside,noun,A1
виявитися,turn,verb,A1
офіційний,official,adjective,A1
найбільший,utmost,adjective,A1
справжній,concrete,adjective,A1
прийти,come,verb,A1
вода,water,noun,A1
культурний,cultural,adjective,A1
перспектива,perspective,noun,A1
чиновник,official,noun,A1
підвищення,promotion,noun,A1
підхід,access,noun,A1
практично,practically,adverb,A1
сільський,rural,adjective,A1
мистецтво,art,noun,A1
крок,step,noun,A1
чоловік,man,noun,A1
займатися,pursue,verb,A1
попередній,previous,adjective,A1
пропозиція,offer,noun,A1
починати,begin,verb,A1
означати,signify,verb,A1
використовувати,utilise,verb,A1
раніше,before,adverb,A1
грудень,december,noun,A1
директор,director,noun,A1
освіта,education,noun,A1
подія,event,noun,A1
Москва,moscow,noun,A1
фактично,virtually,adverb,A1
значення,sense,noun,A1
подальший,further,adjective,A1
фахівець,ace,noun,A1
викликати,summon,verb,A1
прийняття,receipt,noun,A1
експерт,judge,noun,A1
відсутність,absence,noun,A1
насправді,actually,adverb,A1
охорона,guard,noun,A1
спеціальний,special,adjective,A1
установа,institution,noun,A1
ініціатива,initiative,noun,A1
виконувати,execute,verb,A1
модель,pattern,noun,A1
отримувати,get,verb,A1
свідчити,certify,verb,A1
журналіст,journalist,noun,A1
оцінка,mark,noun,A1
список,list,noun,A1
західний,western,adjective,A1
міра,measure,noun,A1
розгляд,trial,noun,A1
центральний,central,adjective,A1
робочий,labour,adjective,A1
необхідність,need,noun,A1
голос,voice,noun,A1
вид,species,noun,A1
далі,along,adverb,A1
здавати,to,verb,A1
ніколи,never,adverb,A1
американський,american,adjective,A1
значно,significantly,adverb,A1
побачити,see,verb,A1
розробка,development,noun,A1
вільний,free,adjective,A1
процедура,procedure,noun,A1
сприяти,assist,verb,A1
воно,it,pronoun,A1
концепція,conception,noun,A1
Микола,nicholas,noun,A1
об'єкт,entity,noun,A1
насамперед,first,adverb,A1
створювати,originate,verb,A1
регіональний,regional,adjective,A1
пропонувати,offer,verb,A1
визнати,acknowledge,verb,A1
львівський,lviv,adjective,A1
матеріал,material,noun,A1
Німеччина,germany,noun,A1
земельний,agrarian,adjective,A1
парламентський,parliamentary,adjective,A1
вимагати,demand,verb,A1
полягати,fall,verb,A1
кампанія,campaign,noun,A1
простір,room,noun,A1
правило,rule,noun,A1
око,eye,noun,A1
січень,january,noun,A1
гра,game,noun,A1
нація,nationality,noun,A1
здоров'я,health,noun,A1
провести,lead,verb,A1
засідання,meeting,noun,A1
забезпечити,ensure,verb,A1
добрий,delicious,adjective,A1
поняття,notion,noun,A1
суть,content,noun,A1
з'явитися,appear,verb,A1
поки,as,adverb,A1
поки,so,adverb,A1
навчання,maneuver,noun,A1
визначення,definition,noun,A1
називати,entitle,verb,A1
президентський,presidential,adjective,A1
майбутнє,future,noun,A1
перемога,victory,noun,A1
зміст,content,noun,A1
надавати,accord,verb,A1
вік,century,noun,A1
Іван,ivan,noun,A1
досягнення,achievement,noun,A1
вартість,cost,noun,A1
знання,science,noun,A1
малий,small,adjective,A1
Польща,poland,noun,A1
жаль,regret,noun,A1
змога,opportunity,noun,A1
книга,book,noun,A1
Сергій,sergius,noun,A1
долар,dollar,noun,A1
адміністрація,authority,noun,A1
чинник,factor,noun,A1
дві,two,numeral,A1
ставити,place,verb,A1
пан,sir,noun,A1
злочин,crime,noun,A1
застосування,application,noun,A1
назвати,name,verb,A1
призначення,appointment,noun,A1
серйозний,serious,adjective,A1
дитина,baby,noun,A1
за,for,adverb,A1
продукція,product,noun,A1
показник,indicator,noun,A1
листопад,november,noun,A1
революція,revolution,noun,A1
фінансування,verbal,noun,A1
правда,truth,noun,A1
книжка,book,noun,A1
ефективний,effective,adjective,A1
масовий,involving,adjective,A1
нарід,nationality,noun,A1
суб'єкт,subject,noun,A1
тиждень,week,noun,A1
варіант,option,noun,A1
визначати,name,verb,A1
привід,pretext,noun,A1
привід,bringing,noun,A1
столиця,capital,noun,A1
кінець,ending,noun,A1
важко,heavily,adverb,A1
вулиця,street,noun,A1
республіка,republic,noun,A1
кабінет,study,noun,A1
рамка,frame,noun,A1
технічний,technical,adjective,A1
стандарт,standard,noun,A1
цікавий,curious,adjective,A1
громада,community,noun,A1
співпраця,cooperation,noun,A1
давно,long,adverb,A1
комплекс,complex,noun,A1
чекати,wait,verb,A1
виконавчий,executive,adjective,A1
етап,leg,noun,A1
чинний,active,adjective,A1
конфлікт,conflict,noun,A1
іноземний,alien,adjective,A1
вигляд,look,noun,A1
професійний,professional,adjective,A1
активний,active,adjective,A1
незалежний,independent,adjective,A1
назва,name,noun,A1
особистий,individual,adjective,A1
менше,less,adverb,A1
метод,method,noun,A1
позитивний,positive,adjective,A1
залежати,depend,verb,A1
громадянський,civic,adjective,A1
пройти,pass,verb,A1
вибір,preference,noun,A1
жовтень,october,noun,A1
низка,row,noun,A1
виступати,project,verb,A1
середовище,environment,noun,A1
спроба,experiment,noun,A1
традиція,tradition,noun,A1
фільм,picture,noun,A1
стратегія,strategy,noun,A1
вести,lead,verb,A1
чотири,four,numeral,A1
бажання,desire,noun,A1
власник,owner,noun,A1
загроза,threat,noun,A1
підтримувати,encourage,verb,A1
зустріч,meeting,noun,A1
підприємець,businessman,noun,A1
кращий,better,adjective,A1
постійний,regular,adjective,A1
успіх,luck,noun,A1
величезний,enormous,adjective,A1
природний,natural,adjective,A1
існування,existence,noun,A1
академія,academy,noun,A1
об'єднання,league,noun,A1
об'єднання,union,noun,A1
голова,head,noun,A1
здійснення,verbal,noun,A1
медичний,medical,adjective,A1
вирішення,decision,noun,A1
постійно,permanently,adverb,A1
стверджувати,state,verb,A1
показати,point,verb,A1
музей,museum,noun,A1
мережа,network,noun,A1
поставити,query,verb,A1
це,it,pronoun,A1
господарство,economy,noun,A1
література,literature,noun,A1
очевидно,manifestly,adverb,A1
виникати,arise,verb,A1
пункт,point,noun,A1
спрямований,directional,adjective,A1
точка,point,noun,A1
п'ять,five,numeral,A1
подібний,similar,adjective,A1
продовжувати,continue,verb,A1
співробітництво,cooperation,noun,A1
наявність,presence,noun,A1
Франція,france,noun,A1
здійснювати,undertake,verb,A1
половина,half,noun,A1
найбільш,most,adverb,A1
доля,fortune,noun,A1
художник,artist,noun,A1
цілий,complete,adjective,A1
відкритий,open,adjective,A1
здатний,capable,adjective,A1
армія,army,noun,A1
прийняти,accept,verb,A1
стратегічний,strategic,adjective,A1
зрозуміло,of,adverb,A1
впливати,govern,verb,A1
спочатку,first,adverb,A1
аналіз,analysis,noun,A1
сподіватися,hope,verb,A1
сильний,strong,adjective,A1
шукати,seek,verb,A1
широкий,wide,adjective,A1
батьківщина,home,noun,A1
батьківщина,fatherland,noun,A1
вихід,exit,noun,A1
дозволити,let,verb,A1
згодом,afterwards,adverb,A1
приймати,accept,verb,A1
розмір,dimension,noun,A1
досі,yet,adverb,A1
явище,phenomenon,noun,A1
розповідати,tell,verb,A1
площа,square,noun,A1
тривати,last,verb,A1
інвестиція,investment,noun,A1
найкращий,top,adjective,A1
продукт,product,noun,A1
огляд,synopsis,noun,A1
розглядати,consider,verb,A1
текст,text,noun,A1
постанова,ordinance,noun,A1
зона,belt,noun,A1
читати,read,verb,A1
година,hour,noun,A1
допомогти,assist,verb,A1
забезпечувати,ensure,verb,A1
надто,too,adverb,A1
плата,payment,noun,A1
чітко,clearly,adverb,A1
професор,professor,noun,A1
товар,merchandise,noun,A1
ділянка,bed,noun,A1
запропонувати,to,verb,A1
розуміння,understanding,noun,A1
доводити,prove,verb,A1
ставлення,attitude,noun,A1
вірити,credit,verb,A1
намір,design,noun,A1
покоління,generation,noun,A1
по-перше,first,adverb,A1
добре,right,adverb,A1
ядерний,nuclear,adjective,A1
майдан,square,noun,A1
природа,nature,noun,A1
видати,publish,verb,A1
категорія,category,noun,A1
менш,less,adverb,A1
обставина,circumstance,noun,A1
повернутися,return,verb,A1
обов'язок,debt,noun,A1
дохід,revenue,noun,A1
тенденція,tendency,noun,A1
кредит,credit,noun,A1
кредит,loan,noun,A1
німецький,of,adjective,A1
правити,rule,verb,A1
герой,person,noun,A1
звернутися,address,verb,A1
зарплата,wage,noun,A1
міліція,police,noun,A1
любити,love,verb,A1
польський,polish,adjective,A1
дорога,road,noun,A1
зусилля,effort,noun,A1
рідний,native,adjective,A1
ціль,point,noun,A1
мільярд,billion,noun,A1
регулювання,regulation,noun,A1
творчий,creative,adjective,A1
додатковий,additional,adjective,A1
дитячий,childish,adjective,A1
інвестор,investor,noun,A1
неможливо,impossibly,adverb,A1
ознака,characteristic,noun,A1
найближчий,immediate,adjective,A1
треба,rite,noun,A1
Андрій,andrew,noun,A1
елемент,element,noun,A1
Китай,china,noun,A1
гарантія,guarantee,noun,A1
визначити,name,verb,A1
партнер,partner,noun,A1
засада,ambush,noun,A1
капітал,capital,noun,A1
конкурс,competition,noun,A1
людський,humane,adjective,A1
фізичний,physical,adjective,A1
дозволяти,let,verb,A1
переважно,mainly,adverb,A1
сенс,sense,noun,A1
платити,pay,verb,A1
особливість,feature,noun,A1
збільшення,magnification,noun,A1
входити,to,verb,A1
входити,enter,verb,A1
генеральний,general,adjective,A1
письменник,writer,noun,A1
складний,hard,adjective,A1
абсолютно,perfectly,adverb,A1
вересень,september,noun,A1
клас,year,noun,A1
нарешті,finally,adverb,A1
черговий,regular,adjective,A1
березень,march,noun,A1
здійснюватися,to,verb,A1
твір,writing,noun,A1
публічний,public,adjective,A1
трохи,slightly,adverb,A1
торгівля,trade,noun,A1
належний,proper,adjective,A1
газета,newspaper,noun,A1
матеріальний,material,adjective,A1
інтеграція,integration,noun,A1
пошук,search,noun,A1
частка,particle,noun,A1
родина,family,noun,A1
Роман,roman,noun,A1
інструмент,tool,noun,A1
надати,afford,verb,A1
операція,operation,noun,A1
проходити,pass,verb,A1
перевага,preference,noun,A1
доступ,access,noun,A1
фракція,faction,noun,A1
глобальний,global,adjective,A1
навпаки,rather,adverb,A1
лікар,leech,noun,A1
друг,friend,noun,A1
шанс,opportunity,noun,A1
Крим,crimea,noun,A1
важливо,importantly,adverb,A1
кафедра,pulpit,noun,A1
Михайло,michael,noun,A1
живий,living,adjective,A1
територіальний,territorial,adjective,A1
рейтинг,rating,noun,A1
асоціація,association,noun,A1
енергетичний,energetic,adjective,A1
колись,once,adverb,A1
по-друге,secondly,adverb,A1
написати,write,verb,A1
прибуток,benefit,noun,A1
схема,plan,noun,A1
протест,protest,noun,A1
Євросоюз,european,noun,A1
десять,ten,numeral,A1
допомагати,assist,verb,A1
іти,walk,verb,A1
потенціал,potential,noun,A1
повністю,quite,adverb,A1
негативний,negative,adjective,A1
ефективність,efficiency,noun,A1
повідомити,announce,verb,A1
ставитися,to,verb,A1
втрата,loss,noun,A1
набагато,much,adverb,A1
реформування,verbal,noun,A1
предмет,subject,noun,A1
газовий,gaseous,adjective,A1
чіткий,distinct,adjective,A1
активно,actively,adverb,A1
тиск,pressure,noun,A1
швидко,quickly,adverb,A1
пріоритет,priority,noun,A1
згадати,name,verb,A1
чорний,black,adjective,A1
принаймні,at,adverb,A1
втратити,lose,verb,A1
довіра,trust,noun,A1
наскільки,how,adverb,A1
зброя,weapon,noun,A1
прямий,right,adjective,A1
видання,issue,noun,A1
вирішувати,solve,verb,A1
схід,east,noun,A1
Інтернет,the,noun,A1
сектор,sector,noun,A1
передусім,first,adverb,A1
звернення,treatment,noun,A1
квітень,april,noun,A1
контекст,context,noun,A1
еліта,elite,noun,A1
зростати,increase,verb,A1
машина,car,noun,A1
практичний,practical,adjective,A1
визнання,credit,noun,A1
нагадати,remind,verb,A1
травень,may,noun,A1
голосування,vote,noun,A1
картина,picture,noun,A1
вперше,for,adverb,A1
Дмитро,demetrius,noun,A1
наприкінці,at,adverb,A1
тип,kind,noun,A1
духовний,spiritual,adjective,A1
будувати,construct,verb,A1
споживач,user,noun,A1
приблизно,about,adverb,A1
цивільний,civil,adjective,A1
виступ,performance,noun,A1
наразі,so,adverb,A1
розвиватися,develop,verb,A1
конференція,conference,noun,A1
пояснити,explain,verb,A1
поведінка,behavior,noun,A1
бувати,haunt,verb,A1
дружина,wife,noun,A1
ключовий,key,adjective,A1
відчувати,feel,verb,A1
враховувати,to,verb,A1
французький,french,adjective,A1
закордонний,foreign,adjective,A1
зобов'язання,debt,noun,A1
навряд,unlikely,adverb,A1
прокуратура,prosecution,noun,A1
надзвичайно,extraordinarily,adverb,A1
підтримати,support,verb,A1
Василь,basil,noun,A1
узяти,take,verb,A1
планувати,intend,verb,A1
розв'язання,solution,noun,A1
виключно,rarely,adverb,A1
владний,authoritative,adjective,A1
грати,act,verb,A1
збиратися,gather,verb,A1
майно,asset,noun,A1
колектив,crew,noun,A1
сумнів,qualm,noun,A1
вважатися,passive,verb,A1
дані,data,noun,A1
комунальний,communal,adjective,A1
куди,where,adverb,A1
творчість,oeuvre,noun,A1
товариство,company,noun,A1
потужний,powerful,adjective,A1
складатися,consist,verb,A1
визначений,definite,adjective,A1
любов,love,noun,A1
військо,army,noun,A1
повернення,comeback,noun,A1
росіянин,russian,noun,A1
господарський,landlord,adjective,A1
господарський,economic,adjective,A1
сотня,company,noun,A1
громадськість,public,noun,A1
обмеження,restriction,noun,A1
коаліція,coalition,noun,A1
південний,southern,adjective,A1
спробувати,taste,verb,A1
дедалі,further,adverb,A1
декларація,declaration,noun,A1
начальник,boss,noun,A1
досягти,achieve,verb,A1
провідний,conductive,adjective,A1
продаж,sale,noun,A1
східний,eastern,adjective,A1
збереження,conservation,noun,A1
кожний,everybody,pronoun,A1
червень,june,noun,A1
отримання,receipt,noun,A1
ризик,risk,noun,A1
смерть,death,noun,A1
зрештою,eventually,adverb,A1
контракт,contract,noun,A1
особисто,personally,adverb,A1
переконаний,convinced,adjective,A1
сцена,stage,noun,A1
боротися,struggle,verb,A1
відкриття,revelation,noun,A1
достатньо,enough,adverb,A1
запровадження,verbal,noun,A1
космічний,cosmic,adjective,A1
підсумок,total,noun,A1
підсумок,pouch,noun,A1
московський,muscovite,adjective,A1
далеко,far,adverb,A1
донецький,donets,adjective,A1
аспект,aspect,noun,A1
теорія,theory,noun,A1
відмовити,to,verb,A1
маленький,small,adjective,A1
помаранчевий,orange,adjective,A1
тривалий,long,adjective,A1
Петро,peter,noun,A1
апарат,apparatus,noun,A1
модернізація,modernization,noun,A1
поле,field,noun,A1
серце,heart,noun,A1
безпосередньо,right,adverb,A1
приміщення,premise,noun,A1
традиційний,traditional,adjective,A1
якось,somehow,adverb,A1
пам'ятати,remember,verb,A1
функціонування,verbal,noun,A1
звичайний,regular,adjective,A1
діалог,dialogue,noun,A1
моральний,moral,adjective,A1
Анатолій,anatoli,noun,A1
свідомість,consciousness,noun,A1
борг,debt,noun,A1
нещодавно,recently,adverb,A1
чужий,alien,adjective,A1
син,son,noun,A1
червоний,red,adjective,A1
напевно,definitely,adverb,A1
вступ,accession,noun,A1
дискусія,debate,noun,A1
низький,low,adjective,A1
журнал,magazine,noun,A1
фірма,company,noun,A1
відміна,declension,noun,A1
енергія,power,noun,A1
найвищий,superlative,adjective,A1
довго,for,adverb,A1
мер,mayor,noun,A1
опинитися,end,verb,A1
ходити,walk,verb,A1
житель,citizen,noun,A1
звертатися,address,verb,A1
жертва,casualty,noun,A1
Лев,leo,noun,A1
житло,accommodation,noun,A1
зниження,decline,noun,A1
науковець,scientist,noun,A1
обговорення,discussion,noun,A1
боятися,feel,verb,A1
промисловість,industry,noun,A1
якісний,quality,adjective,A1
додати,to,verb,A1
екологічний,ecological,adjective,A1
повертати,turn,verb,A1
харківський,kharkiv,adjective,A1
пам'ять,mind,noun,A1
пісня,song,noun,A1
Америка,america,noun,A1
внесок,investment,noun,A1
особистість,identity,noun,A1
шість,six,numeral,A1
банківський,bank,adjective,A1
містити,comprise,verb,A1
ринковий,market,adjective,A1
встановлення,verbal,noun,A1
читач,reader,noun,A1
виставка,show,noun,A1
виглядати,look,verb,A1
зібрати,collect,verb,A1
указ,ordinance,noun,A1
унікальний,unique,adjective,A1
користуватися,put,verb,A1
нормальний,regular,adjective,A1
конвенція,convention,noun,A1
липень,july,noun,A1
мінімум,minimum,noun,A1
порівняно,comparatively,adverb,A1
вивчення,study,noun,A1
успішний,successful,adjective,A1
промисловий,industrial,adjective,A1
розширення,expansion,noun,A1
штат,state,noun,A1
папір,paper,noun,A1
решта,change,noun,A1
менший,lesser,adjective,A1
Путін,putin,noun,A1
відкрити,open,verb,A1
сидіти,of,verb,A1
художній,artistic,adjective,A1
ухвалення,verbal,noun,A1
швидше,rather,adverb,A1
зазвичай,usually,adverb,A1
мешканець,citizen,noun,A1
правління,board,noun,A1
фестиваль,festival,noun,A1
перелік,list,noun,A1
свято,festival,noun,A1
ідеологія,ideology,noun,A1
електронний,electronic,adjective,A1
потік,flow,noun,A1
